test,type,interactions,elapsed_time,find_type
test_base,memalloc,1251,16.037001,worst_fit
test_base,memalloc,1251,15.634001,null
test_base,std,1251,0.082000,std
test_base,memalloc,1261,15.750001,first_fit
test_base,memalloc,1261,15.725000,worst_fit
test_base,memalloc,1261,16.937000,null
test_base,std,1261,0.082000,std
test_base,memalloc,1271,16.082001,first_fit
test_base,memalloc,1271,15.747001,worst_fit
test_base,memalloc,1271,15.432001,null
test_base,std,1271,0.098000,std
test_base,memalloc,1281,16.801001,first_fit
test_base,memalloc,1281,16.746000,worst_fit
test_base,memalloc,1281,17.203001,null
test_base,std,1281,0.100000,std
test_base,memalloc,1291,16.621000,first_fit
test_base,memalloc,1291,16.314001,worst_fit
test_base,memalloc,1291,16.075001,null
test_base,std,1291,0.101000,std
test_base,memalloc,1301,17.578001,first_fit
test_base,memalloc,1301,17.584002,worst_fit
test_base,memalloc,1301,22.243002,null
test_base,std,1301,0.101000,std
test_base,memalloc,1311,16.188002,first_fit
test_base,memalloc,1311,16.614000,worst_fit
test_base,memalloc,1311,17.242001,null
test_base,std,1311,0.109000,std
test_base,memalloc,1321,23.079000,first_fit
test_base,memalloc,1321,16.479000,worst_fit
test_base,memalloc,1321,23.081001,null
test_base,std,1321,0.101000,std
test_base,memalloc,1331,16.450001,first_fit
test_base,memalloc,1331,19.188002,worst_fit
test_base,memalloc,1331,17.904001,null
test_base,std,1331,0.103000,std
test_base,memalloc,1341,17.898001,first_fit
test_base,memalloc,1341,16.654001,worst_fit
test_base,memalloc,1341,16.561001,null
test_base,std,1341,0.104000,std
test_base,memalloc,1351,17.050001,first_fit
test_base,memalloc,1351,19.896002,worst_fit
test_base,memalloc,1351,18.583000,null
test_base,std,1351,0.104000,std
test_base,memalloc,1361,16.977001,first_fit
test_base,memalloc,1361,16.929001,worst_fit
test_base,memalloc,1361,17.365002,null
test_base,std,1361,0.108000,std
test_base,memalloc,1371,18.132000,first_fit
test_base,memalloc,1371,21.019001,worst_fit
test_base,memalloc,1371,18.329000,null
test_base,std,1371,0.102000,std
test_base,memalloc,1381,17.798000,first_fit
test_base,memalloc,1381,28.476002,worst_fit
test_base,memalloc,1381,19.413000,null
test_base,std,1381,0.110000,std
test_base,memalloc,1391,18.334002,first_fit
test_base,memalloc,1391,17.449001,worst_fit
test_base,memalloc,1391,18.740002,null
test_base,std,1391,0.106000,std
test_base,memalloc,1401,18.461000,first_fit
test_base,memalloc,1401,19.961000,worst_fit
test_base,memalloc,1401,17.160002,null
test_base,std,1401,0.106000,std
test_base,memalloc,1411,17.278000,first_fit
test_base,memalloc,1411,18.198000,worst_fit
test_base,memalloc,1411,17.967001,null
test_base,std,1411,0.107000,std
test_base,memalloc,1421,19.097000,first_fit
test_base,memalloc,1421,17.926001,worst_fit
test_base,memalloc,1421,18.517000,null
test_base,std,1421,0.106000,std
test_base,memalloc,1431,20.317001,first_fit
test_base,memalloc,1431,18.961000,worst_fit
test_base,memalloc,1431,19.084002,null
test_base,std,1431,0.110000,std
test_base,memalloc,1441,18.167002,first_fit
test_base,memalloc,1441,18.237001,worst_fit
test_base,memalloc,1441,18.433001,null
test_base,std,1441,0.111000,std
test_base,memalloc,1451,19.087002,first_fit
test_base,memalloc,1451,21.332001,worst_fit
test_base,memalloc,1451,18.477001,null
test_base,std,1451,0.107000,std
test_base,memalloc,1461,18.618000,first_fit
test_base,memalloc,1461,18.377001,worst_fit
test_base,memalloc,1461,20.102001,null
test_base,std,1461,0.108000,std
test_base,memalloc,1471,18.561001,first_fit
test_base,memalloc,1471,19.700001,worst_fit
test_base,memalloc,1471,18.294001,null
test_base,std,1471,0.111000,std
test_base,memalloc,1481,18.542002,first_fit
test_base,memalloc,1481,19.988001,worst_fit
test_base,memalloc,1481,18.840000,null
test_base,std,1481,0.111000,std
test_base,memalloc,1491,18.597000,first_fit
test_base,memalloc,1491,18.504002,worst_fit
test_base,memalloc,1491,18.827002,null
test_base,std,1491,0.113000,std
test_base,memalloc,1501,20.175001,first_fit
test_base,memalloc,1501,20.381001,worst_fit
test_base,memalloc,1501,21.822001,null
test_base,std,1501,0.111000,std
test_base,memalloc,1511,19.250000,first_fit
test_base,memalloc,1511,19.020000,worst_fit
test_base,memalloc,1511,20.911001,null
test_base,std,1511,0.119000,std
test_base,memalloc,1521,21.793001,first_fit
test_base,memalloc,1521,19.110001,worst_fit
test_base,memalloc,1521,19.445002,null
test_base,std,1521,0.113000,std
test_base,memalloc,1531,22.354002,first_fit
test_base,memalloc,1531,20.888000,worst_fit
test_base,memalloc,1531,21.501001,null
test_base,std,1531,0.109000,std
test_base,memalloc,1541,19.643002,first_fit
test_base,memalloc,1541,19.119001,worst_fit
test_base,memalloc,1541,19.499001,null
test_base,std,1541,0.109000,std
test_base,memalloc,1551,21.226929,first_fit
test_base,memalloc,1551,19.526001,worst_fit
test_base,memalloc,1551,20.605001,null
test_base,std,1551,0.115000,std
test_base,memalloc,1561,20.316002,first_fit
test_base,memalloc,1561,26.450001,worst_fit
test_base,memalloc,1561,19.968000,null
test_base,std,1561,0.114000,std
test_base,memalloc,1571,20.206001,first_fit
test_base,memalloc,1571,20.942001,worst_fit
test_base,memalloc,1571,19.827002,null
test_base,std,1571,0.115000,std
test_base,memalloc,1581,20.564001,first_fit
test_base,memalloc,1581,20.310001,worst_fit
test_base,memalloc,1581,20.466002,null
test_base,std,1581,0.120000,std
test_base,memalloc,1591,20.650002,first_fit
